Epoch,LowerTbin,UpperTbin,KYS_SF
IM01, 2012-12-04 07:45, 2012-12-05 08:00,1
IM02, 2013-01-16 07:45, 2013-01-17 07:00,1
IM03, 2013-02-27 13:45, 2013-02-28 14:00,1
IM04, 2013-03-28 01:45, 2013-03-29 02:00,1
IM04b,2013-03-28 08:53, 2013-03-29 02:00,1
IM05, 2013-04-11 02:50, 2013-04-12 03:00,1
IM06, 2013-05-07 23:15, 2013-05-08 23:30,1
IM07, 2013-09-24 10:45, 2013-09-25 11:00,1
IM08, 2013-10-15 14:10, 2013-10-16 14:16,1
IM09, 2013-11-19 21:45, 2013-11-20 21:00,1
IM10, 2013-12-24 01:45, 2013-12-25 02:00,1
IM11, 2014-01-26 23:50, 2014-01-28 00:00,1
IM12, 2014-02-28 03:00, 2014-03-01 03:00,1
IM13, 2014-03-21 23:10, 2014-03-22 23:30,1
IM14, 2014-04-22 23:00, 2014-04-23 23:00,1
IM15, 2014-06-13 04:00, 2014-06-14 04:00,1
IM16, 2014-09-01 10:00, 2014-09-02 06:00,1
IM17, 2014-09-27 04:00, 2014-09-28 04:00,1
IM18, 2014-10-29 02:00, 2014-10-30 02:00,1
IM19, 2014-11-28 06:00, 2014-11-29 06:00,1
IM20, 2014-12-25 23:00, 2014-12-26 23:00,1
IM21, 2015-01-15 00:00, 2015-01-16 00:00,1
IM22, 2015-02-23 14:30, 2015-02-24 14:30,1
IM23, 2015-03-26 02:30, 2015-03-27 02:30,1
IM24, 2015-04-30 00:00, 2015-05-01 00:00,1
IM25, 2015-08-28 02:00, 2015-08-29 02:00,1
IM26, 2015-09-24 03:30, 2015-09-25 03:30,1
IM27, 2015-10-23 13:30, 2015-10-24 13:30,1
IM28, 2015-11-30 08:00, 2015-12-01 08:00,1
IM29, 2015-12-28 08:00, 2015-12-29 08:00,1
IM30, 2016-01-13 08:00, 2016-01-15 08:00,1
IM31, 2016-02-11 02:03, 2016-02-12 02:04,1
IM32, 2016-03-01 02:00, 2016-03-02 02:00,1
IM33, 2016-04-02 12:00, 2016-04-03 12:00,1
IM34, 2016-04-24 10:00, 2016-04-25 10:00,1
IM35, 2016-05-30 23:00, 2016-05-31 23:00,1
IM36, 2016-08-23 01:15, 2016-08-24 01:15,1
IM37, 2016-10-18 13:43, 2016-10-19 13:43,1
IM38, 2016-11-27 00:00, 2016-11-28 00:10,1
IM39, 2016-12-28 06:04, 2016-12-29 06:04,1
IM40, 2017-01-20 03:00, 2017-01-21 02:57,1
IM41, 2017-02-07 15:37, 2017-02-08 15:37,1
IM42, 2017-03-28 12:00, 2017-03-29 12:00,1
IM43, 2017-04-19 00:00, 2017-04-20 00:00,1
IM44, 2017-05-21 01:00, 2017-05-22 01:00,1
IM45, 2017-06-17 07:00, 2017-06-18 07:00,1
IM46, 2017-09-19 01:00, 2017-09-20 01:00,1
IM47, 2017-10-21 01:00, 2017-10-22 01:00,1
IM48, 2017-11-04 23:00, 2017-11-05 23:00,1
IM49, 2017-11-22 01:00, 2017-11-23 01:00,1
IM50, 2017-12-06 08:45, 2017-12-07 08:45,1.092
IM51, 2018-01-13 08:08, 2018-01-14 08:08,1.584
IM52, 2018-01-30 05:12, 2018-01-31 05:12,1
IM53, 2018-02-19 01:01, 2018-02-20 00:59,1.406
IM54, 2018-03-02 00:18, 2018-03-03 00:15,1.428
IM55, 2018-03-25 09:15, 2018-03-26 09:15,1.583
IM56, 2018-04-19 03:53, 2018-04-20 03:53,1
IM57, 2018-05-26 01:30, 2018-05-27 01:30,1
IM58, 2018-05-31 21:11, 2018-06-01 21:11,1
IM59, 2018-09-15 01:04, 2018-09-16 01:04,1
IM60, 2018-10-16 01:19, 2018-10-17 01:19,7.544
IM61, 2018-11-20 00:28, 2018-11-21 00:28,2.741
IM62, 2018-12-14 02:02, 2018-12-15 01:23,2.001
IM63, 2019-01-26 02:36, 2019-01-27 02:33,1.987
IM64, 2019-02-14 17:22, 2019-02-15 17:22,2.116
IM65, 2019-03-18 02:03, 2019-03-19 02:03,1
IM66, 2019-04-20 00:38, 2019-04-21 00:38,1
IM67, 2019-05-28 05:03, 2019-05-29 05:03,1
IM68, 2019-06-08 04:00, 2019-06-09 04:00,1
IM69, 2019-10-31 01:47, 2019-11-01 01:47,1
IM70, 2019-12-02 00:20, 2019-12-03 00:20,1
IM71, 2020-01-02 04:11, 2020-01-03 04:08,1
IM72, 2020-02-09 01:40, 2020-02-10 02:00,1
IM73, 2020-03-06 01:40, 2020-03-07 01:41,1
